연번,시,구,동,도로명,시도청,경찰서,치안센터명,주소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,기준주소
1,서울특별시,중구,충무로2길,39,서울청,서울중부,충4치안센터,서울 중구 충무로2길 39,서울 중구 충무로2길 39,199520,451124,정좌표,11140132001002718,새주소,서울특별시 중구 충무로2길 39,서울특별시 중구 충무로4가 27-5,45560,11140590000,광희동,11140132000,충무로4가,서울특별시 중구 충무로2길 39
2,서울특별시,종로구,비봉길,13,서울청,서울종로,구기치안센터,서울 종로구 비봉길 13,서울 종로구 비봉길 13,196084,456373,정좌표,1111018200101218,새주소,서울특별시 종로구 비봉길 13,서울특별시 종로구 구기동 120-16,30000,11110560000,평창동,11110182000,구기동,서울특별시 종로구 비봉길 13
3,서울특별시,서대문구,북아현로,59-1,서울청,서울서대문,북아현치안센터,서울 서대문구 북아현로 59-1번지,서울 서대문구 북아현로 59-1번지,195987,451131,정좌표,11410110001017618,새주소,서울특별시 서대문구 북아현로 59-1,서울특별시 서대문구 북아현동 176-53,37620,11410565000,충현동,11410110000,북아현동,서울특별시 서대문구 북아현로 59-1
4,서울특별시,종로구,돈화문로,28,서울청,서울혜화,종로3가치안센터,서울 종로구 돈화문로 28,서울 종로구 돈화문로 28,199254,452104,정좌표,11110151001005918,새주소,서울특별시 종로구 돈화문로 28,서울특별시 종로구 묘동 59-5,31380,11110615000,종로1.2.3.4가동,11110151000,묘동,서울특별시 종로구 돈화문로 28
5,서울특별시,용산구,청파로,274-2,서울청,서울용산,청파치안센터,서울 용산구 청파로 274-2,서울 용산구 청파로 274-2,197359,449093,정좌표,1117011100100118,새주소,서울특별시 용산구 청파로 274-2,서울특별시 용산구 청파동3가 10-5,43130,11170555000,청파동,11170111000,청파동3가,서울특별시 용산구 청파로 274-2
6,서울특별시,용산구,신흥로,90,서울청,서울용산,용산치안센터,서울 용산구 신흥로 90,서울 용산구 신흥로 90,198645,449288,정좌표,11170102001001118,새주소,서울특별시 용산구 신흥로 90,서울특별시 용산구 용산동2가 11-13,43390,11170520000,용산2가동,11170102000,용산동2가,서울특별시 용산구 신흥로 90
7,서울특별시,용산구,이태원로,281,서울청,서울용산,한남2치안센터,서울 용산구 이태원로 281,서울 용산구 이태원로 281,200065,448613,정좌표,1117013100200100118,새주소,서울특별시 용산구 이태원로 281,서울특별시 용산구 한남동 산 10-33,43470,11170685000,한남동,11170131000,한남동,서울특별시 용산구 이태원로 281
8,서울특별시,용산구,이촌로71길,24,서울청,서울용산,이촌치안센터,서울 용산구 이촌로71길 24,서울 용산구 이촌로71길 24,197570,446569,정좌표,11170129001030118,새주소,서울특별시 용산구 이촌로71길 24,서울특별시 용산구 이촌동 301-82,44220,11170630000,이촌1동,11170129000,이촌동,서울특별시 용산구 이촌로71길 24
9,서울특별시,성북구,보문로29길,92,서울청,서울성북,삼선치안센터,서울 성북구 보문로29길 92,서울 성북구 보문로29길 92,201121,453767,정좌표,1129011300100680118,새주소,서울특별시 성북구 보문로29길 92,서울특별시 성북구 삼선동3가 68-6,28630,11290555000,삼선동,11290113000,삼선동3가,서울특별시 성북구 보문로29길 92
10,서울특별시,성북구,정릉로31길,30,서울청,서울성북,길음1치안센터,서울 성북구 정릉로 31길 30 ,서울 성북구 정릉로 31길 30 ,201287,455728,정좌표,1129013300109660218,새주소,서울특별시 성북구 정릉로31길 30,서울특별시 성북구 정릉동 966-173,27190,11290620000,정릉1동,11290133000,정릉동,서울특별시 성북구 정릉로31길 30
